Influencer ID,Total Faces,Average Performance,Representative Face
hd-883738210384679,3,0.4121572632,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-883738210384679.jpg
hd-883246492824014,6,1.071892981,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-883246492824014.jpg
hd-882993126248062,17,0.7125225635,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-882993126248062.jpg
hd-8828692983838031,6,0.2484299366,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8828692983838031.jpg
hd-882867522830120,17,0.5822382494,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-882867522830120.jpg
hd-882019143545185,0,1.373426554,
hd-881925359723909,0,1.134600905,
hd-8816515918390519,6,0.6558166742,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8816515918390519.jpg
hd-881342303358042,10,1.642976689,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-881342303358042.jpg
hd-881270063889884,5,0.6955850318,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-881270063889884.jpg
hd-8806609246079208,17,0.161058226,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8806609246079208.jpg
hd-880568190186256,0,0.715033664,
hd-880340126836307,0,0.5288023289,
hd-8796411607036992,0,0.8726478368,
hd-879631723735807,0,0.09930791415,
hd-879049300656635,0,1.627105702,
hd-877975993416760,17,1.193510855,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-877975993416760.jpg
hd-877662697022279,17,0.9765860554,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-877662697022279.jpg
hd-877511836784655,17,0.01701075627,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-877511836784655.jpg
hd-877210454387561,0,1.423775128,
hd-877129693575192,17,1.059146172,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-877129693575192.jpg
hd-876239523982490,2,1.376462849,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-876239523982490.jpg
hd-876121221160846,12,1.33176133,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-876121221160846.jpg
hd-875485623676104,17,0.8695748441,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-875485623676104.jpg
hd-874864704574925,3,0.5277488215,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-874864704574925.jpg
hd-874747697073121,17,0.3347610411,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-874747697073121.jpg
hd-874543520932484,10,1.711824628,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-874543520932484.jpg
hd-874190910572544,2,0.1117321928,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-874190910572544.jpg
hd-874084244131796,0,1.063129008,
hd-873560550525047,17,0.1205026184,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-873560550525047.jpg
hd-873317140849832,12,0.02681960488,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-873317140849832.jpg
hd-873043573965895,17,0.8402883805,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-873043573965895.jpg
hd-872760463806517,17,1.796113386,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-872760463806517.jpg
hd-872400620956045,17,0.3793758734,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-872400620956045.jpg
hd-872222594086011,17,0.0241627689,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-872222594086011.jpg
hd-872188860590219,6,0.1967932563,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-872188860590219.jpg
hd-871981848375866,1,0.2842529967,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-871981848375866.jpg
hd-8715627171842855,17,0.3426879346,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8715627171842855.jpg
hd-871286287458461,17,0.2752463194,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-871286287458461.jpg
hd-871185627435460,17,0.1271635041,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-871185627435460.jpg
hd-871075730546911,6,0.365768786,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-871075730546911.jpg
hd-871037203883530,6,1.779812097,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-871037203883530.jpg
hd-819765763526762,8,1.73474155,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-819765763526762.jpg
hd-818776323774715,0,0.9127670642,
hd-818462803696191,0,0.187550585,
hd-817768845898837,6,0.4029003312,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-817768845898837.jpg
hd-817763467176157,12,0.7870814159,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-817763467176157.jpg
hd-817477363934899,2,0.03352479043,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-817477363934899.jpg
hd-817475239730695,17,0.6583141695,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-817475239730695.jpg
